,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,2,VEC,1600,100.0,84.62,1.0647185087797697,NA
1,7,3,VEC,1600,100.0,98.79,1.2029322521695576,NA
2,7,2,VEC,1444,100.0,89.14,1.0282456973999796,NA
3,7,3,VEC,1444,100.0,108.23,1.2960023898693906,NA
4,7,2,VEC,1296,100.0,90.78,1.0096031212403613,NA
5,7,3,VEC,1296,100.0,119.68,1.3786043711002276,NA
6,7,2,VEC,1156,100.0,106.63,1.1946334954693156,NA
7,7,3,VEC,1156,100.0,136.34,1.5193447126405955,NA
8,7,2,VEC,1024,100.0,133.82,1.4276509827982227,NA
9,7,3,VEC,1024,100.0,153.35,1.669744152969506,NA
10,7,2,VEC,900,100.0,163.28,1.692221383090655,NA
11,7,3,VEC,900,100.0,179.43,2.335946503490559,NA
12,7,2,VEC,784,100.0,197.63,1.990481486650242,NA
13,7,3,VEC,784,100.0,215.74,2.2795867754705252,NA
14,7,2,VEC,676,98.0,244.5408163265306,2.566296085857249,NA
15,7,3,VEC,676,100.0,282.81,2.865243494250608,NA
16,7,2,VEC,576,100.0,243.94,2.337207084189868,NA
17,7,3,VEC,576,99.0,371.7878787878788,3.6535740775049423,NA
18,7,2,VEC,484,97.0,328.97938144329896,3.3097167203084927,NA
19,7,3,VEC,484,93.0,502.86021505376345,5.216997492290164,NA
20,7,2,VEC,400,90.0,375.6,3.4805513773446566,NA
21,7,3,VEC,400,50.0,675.76,7.039915385860367,NA
22,7,2,VEC,324,48.0,587.7291666666666,5.3780675042080475,NA
23,7,3,VEC,324,9.0,846.2222222222222,7.97320558977986,NA
24,7,2,VEC,256,45.0,596.4222222222222,5.407920237088304,NA
25,7,3,VEC,256,0.0,1000.0,inf,NA
