mode,meas,n,r,target_dim,samples,percent_recovered,avg # iters,avg time,intermediate dimension
TWOSTEP,Fourier,40,3,1000,100,0.0,1000.0,inf,200
TWOSTEP,Fourier,40,3,2000,100,68.0,704.2058823529412,29.7570751513601,200
TWOSTEP,Fourier,40,3,3000,100,96.0,443.4895833333333,18.76594979597333,200
TWOSTEP,Fourier,40,3,4000,100,99.0,408.7676767676768,17.58389702975767,200
TWOSTEP,Fourier,40,3,5000,100,99.0,362.020202020202,15.541487035414027,200
TWOSTEP,Fourier,40,3,6000,100,100.0,348.12,14.861329440340125,200
TWOSTEP,Fourier,40,3,7000,100,100.0,325.95,13.715520299460186,200
TWOSTEP,Fourier,40,3,8000,100,100.0,325.45,13.655181964930309,200
TWOSTEP,Fourier,40,3,9000,100,100.0,320.97,13.209211379979898,200
TWOSTEP,Fourier,40,3,10000,100,100.0,319.98,13.139565747640226,200
TWOSTEP,Fourier,40,3,1000,100,0.0,1000.0,inf,250
TWOSTEP,Fourier,40,3,2000,100,70.0,653.0571428571428,27.68063429506229,250
TWOSTEP,Fourier,40,3,3000,100,100.0,331.1,14.055088889217004,250
TWOSTEP,Fourier,40,3,4000,100,100.0,268.92,11.559689620119824,250
TWOSTEP,Fourier,40,3,5000,100,100.0,247.37,10.635818110730034,250
TWOSTEP,Fourier,40,3,6000,100,100.0,234.08,10.04662640516035,250
TWOSTEP,Fourier,40,3,7000,100,100.0,223.2,9.568863879549973,250
TWOSTEP,Fourier,40,3,8000,100,100.0,221.72,9.359245104099973,250
TWOSTEP,Fourier,40,3,9000,100,100.0,217.07,9.1192375792002,250
TWOSTEP,Fourier,40,3,10000,100,100.0,210.61,8.849839358209646,250
TWOSTEP,Fourier,40,3,1000,100,0.0,1000.0,inf,300
TWOSTEP,Fourier,40,3,2000,100,72.0,614.2777777777778,26.68282713940264,300
TWOSTEP,Fourier,40,3,3000,100,100.0,282.55,12.31710101925768,300
TWOSTEP,Fourier,40,3,4000,100,100.0,222.91,10.231504361269764,300
TWOSTEP,Fourier,40,3,5000,100,100.0,203.05,9.316902134539996,300
TWOSTEP,Fourier,40,3,6000,100,100.0,191.46,8.753517690639564,300
TWOSTEP,Fourier,40,3,7000,100,100.0,183.1,8.348058238470111,300
TWOSTEP,Fourier,40,3,8000,100,100.0,177.1,7.727424969952554,300
TWOSTEP,Fourier,40,3,9000,100,100.0,172.15,3.0139860088936983,300
TWOSTEP,Fourier,40,3,10000,100,100.0,171.69,3.08139401923865,300
TWOSTEP,Fourier,40,5,4000,100,0.0,1000.0,inf,200
TWOSTEP,Fourier,40,5,5000,100,0.0,1000.0,inf,200
TWOSTEP,Fourier,40,5,6000,100,31.0,836.3548387096774,36.076438898461,200
TWOSTEP,Fourier,40,5,7000,100,67.0,808.4477611940298,34.897227456709786,200
TWOSTEP,Fourier,40,5,8000,100,84.0,737.2738095238095,31.83353851595893,200
TWOSTEP,Fourier,40,5,9000,100,87.0,686.8505747126437,29.7483516387513,200
TWOSTEP,Fourier,40,5,10000,100,93.0,664.6989247311828,28.72039832058613,200
TWOSTEP,Fourier,40,5,4000,100,0.0,1000.0,inf,250
TWOSTEP,Fourier,40,5,5000,100,10.0,906.2,42.5627455042908,250
TWOSTEP,Fourier,40,5,6000,100,90.0,695.7111111111111,32.37766849842156,250
TWOSTEP,Fourier,40,5,7000,100,100.0,548.02,25.456468364935134,250
TWOSTEP,Fourier,40,5,8000,100,100.0,466.32,21.638062553381317,250
TWOSTEP,Fourier,40,5,9000,100,100.0,427.51,19.85414555617375,250
TWOSTEP,Fourier,40,5,10000,100,100.0,401.81,18.6557672179502,250
TWOSTEP,Fourier,40,5,4000,100,0.0,1000.0,inf,300
TWOSTEP,Fourier,40,5,5000,100,7.0,875.2857142857143,38.76120382214764,300
TWOSTEP,Fourier,40,5,6000,100,95.0,644.0421052631579,28.55727301461524,300
TWOSTEP,Fourier,40,5,7000,100,100.0,433.65,19.18051659112796,300
TWOSTEP,Fourier,40,5,8000,100,100.0,355.84,15.715668058311566,300
TWOSTEP,Fourier,40,5,9000,100,100.0,320.58,19.44889490074478,300
TWOSTEP,Fourier,40,5,10000,100,100.0,294.31,37.03364286839962,300
VEC,Fourier,40,3,1000,100,0.0,1000.0,inf,1
VEC,Fourier,40,3,2000,100,22.0,616.5454545454545,27.861333242109552,1
VEC,Fourier,40,3,3000,100,84.0,287.79761904761904,13.011481837968208,1
VEC,Fourier,40,3,4000,100,95.0,176.46315789473684,7.716529469495933,1
VEC,Fourier,40,3,5000,100,98.0,137.78571428571428,5.8292801490775785,1
VEC,Fourier,40,3,6000,100,100.0,120.93,5.199844573680312,1
VEC,Fourier,40,3,7000,100,100.0,105.54,4.604487005900592,1
VEC,Fourier,40,3,8000,100,100.0,99.81,4.358328858409077,1
VEC,Fourier,40,3,9000,100,100.0,94.68,4.153709486853331,1
VEC,Fourier,40,3,10000,100,100.0,89.43,3.9313337785191833,1
VEC,Fourier,40,5,4000,100,0.0,1000.0,inf,1
VEC,Fourier,40,5,5000,100,0.0,1000.0,inf,1
VEC,Fourier,40,5,6000,100,15.0,762.4,35.108793673167625,1
VEC,Fourier,40,5,7000,100,68.0,598.2205882352941,27.53398828118053,1
VEC,Fourier,40,5,8000,100,97.0,396.5670103092784,18.22806643525657,1
VEC,Fourier,40,5,9000,100,99.0,310.010101010101,14.25175671559768,1
VEC,Fourier,40,5,10000,100,99.0,214.16161616161617,9.855365832966536,1
TWOSTEP,Gaussian,40,3,1000,100,0.0,1000.0,inf,200
TWOSTEP,Gaussian,40,3,2000,100,38.0,796.578947368421,11.475670409780976,200
TWOSTEP,Gaussian,40,3,3000,100,90.0,586.2111111111111,8.612757340187414,200
TWOSTEP,Gaussian,40,3,4000,100,93.0,511.76344086021504,20.354392144017883,200
TWOSTEP,Gaussian,40,3,5000,100,96.0,470.03125,19.572701356063288,200
TWOSTEP,Gaussian,40,3,6000,100,95.0,431.0,18.73034304066218,200
TWOSTEP,Gaussian,40,3,7000,100,98.0,442.9489795918368,19.996241157717662,200
TWOSTEP,Gaussian,40,3,8000,100,95.0,414.3368421052632,19.486865180912183,200
TWOSTEP,Gaussian,40,3,9000,100,97.0,398.64948453608247,19.629000690972106,200
TWOSTEP,Gaussian,40,3,10000,100,100.0,404.17,20.847106718057766,200
TWOSTEP,Gaussian,40,3,1000,100,0.0,1000.0,inf,250
TWOSTEP,Gaussian,40,3,2000,100,53.0,703.7547169811321,10.32494189964502,250
TWOSTEP,Gaussian,40,3,3000,100,100.0,435.37,6.805050163557753,250
TWOSTEP,Gaussian,40,3,4000,100,100.0,362.72,17.669236961118877,250
TWOSTEP,Gaussian,40,3,5000,100,100.0,314.06,16.612271356945858,250
TWOSTEP,Gaussian,40,3,6000,100,100.0,297.69,17.03306908527389,250
TWOSTEP,Gaussian,40,3,7000,100,100.0,276.37,16.82753218459897,250
TWOSTEP,Gaussian,40,3,8000,100,100.0,272.86,17.75031421886757,250
TWOSTEP,Gaussian,40,3,9000,100,99.0,276.6868686868687,19.044019198995272,250
TWOSTEP,Gaussian,40,3,10000,100,100.0,267.17,19.58486185222864,250
TWOSTEP,Gaussian,40,3,1000,100,0.0,1000.0,inf,300
TWOSTEP,Gaussian,40,3,2000,100,49.0,628.3265306122449,9.798333274542678,300
TWOSTEP,Gaussian,40,3,3000,100,99.0,360.4949494949495,5.7182109421589455,300
TWOSTEP,Gaussian,40,3,4000,100,100.0,280.03,19.324739212114363,300
TWOSTEP,Gaussian,40,3,5000,100,100.0,249.66,18.670619061198085,300
TWOSTEP,Gaussian,40,3,6000,100,100.0,238.14,19.491689445693044,300
