,mode,meas,n,r,target_dim,samples,percent_recovered,avg # iters,avg time,intermediate dimension,avg error
12,TWOSTEP,Fourier,96,1,32768,100,0,500,216.69367396064104,2048,3.7040208098915166e-06
0,TWOSTEP,Fourier,96,1,65536,100,0,500,379.0681142503396,4096,2.8585376315959364e-06
1,TWOSTEP,Fourier,96,2,32768,100,0,500,262.2041178214923,2048,1.932132847741741e-06
2,TWOSTEP,Fourier,96,2,65536,100,0,500,426.98745610605926,4096,1.8040071870473184e-06
3,TWOSTEP,Fourier,96,3,32768,100,0,500,265.2603411525116,2048,1.5258379323768168e-06
4,TWOSTEP,Fourier,96,3,65536,100,0,500,428.1505680897087,4096,1.2686649517945625e-06
5,TWOSTEP,Fourier,96,4,32768,100,0,500,255.41046528127043,2048,2.081438602772323e-06
6,TWOSTEP,Fourier,96,4,65536,100,0,500,420.0302007714659,4096,1.2692127131685993e-06
13,TWOSTEP,Fourier,96,5,32768,100,0,500,325.24301659118385,2048,6.212240262811974e-05
7,TWOSTEP,Fourier,96,5,65536,100,0,500,525.6186042034999,4096,6.0556822631951945e-06
14,TWOSTEP,Fourier,96,6,32768,100,0,500,277.868771083951,2048,0.2727226232396788
8,TWOSTEP,Fourier,96,6,65536,100,0,500,467.7986912848056,4096,8.678757512825542e-06
15,TWOSTEP,Fourier,96,7,32768,100,0,500,289.818268227838,2048,0.5871063852310181
9,TWOSTEP,Fourier,96,7,65536,100,0,500,549.5909487083181,4096,0.0124700109471359
10,TWOSTEP,Fourier,96,8,32768,100,0,500,291.4570556044206,2048,0.6241236042976379
11,TWOSTEP,Fourier,96,8,65536,100,0,500,493.9340953237563,4096,0.5099134548101574
16,VEC,Fourier,96,1,32768,100,0,500,111.99390598479658,1,1.7029338278007344e-06
28,VEC,Fourier,96,1,65536,100,0,500,111.44259797874838,1,1.7485915083170766e-06
17,VEC,Fourier,96,2,32768,100,0,500,148.14210652615876,1,1.2218593667512323e-06
18,VEC,Fourier,96,2,65536,100,0,500,149.04110845454036,1,1.2293517806938325e-06
19,VEC,Fourier,96,3,32768,100,0,500,167.6146013688296,1,9.53858292973564e-07
29,VEC,Fourier,96,3,65536,100,0,500,171.20575792569667,1,9.357834215961704e-07
20,VEC,Fourier,96,4,32768,100,0,500,151.28279602427037,1,0.0107473690410631
21,VEC,Fourier,96,4,65536,100,0,500,156.76746753513814,1,9.060314778253088e-07
22,VEC,Fourier,96,5,32768,100,0,500,194.22802604347467,1,0.0215126120302511
23,VEC,Fourier,96,5,65536,100,0,500,209.33778790999204,1,4.2379969818284735e-06
24,VEC,Fourier,96,6,32768,100,0,500,133.22780579846352,1,0.4743050964805388
25,VEC,Fourier,96,6,65536,100,0,500,177.30286138229073,1,5.380351067287847e-06
26,VEC,Fourier,96,7,32768,100,0,500,164.3054151077196,1,0.6290998542308808
27,VEC,Fourier,96,7,65536,100,0,500,236.18262686196715,1,0.0129573246851123
30,VEC,Fourier,96,8,32768,100,0,500,149.89759806577115,1,0.7192537462711335
31,VEC,Fourier,96,8,65536,100,0,500,236.295857787244,1,0.4693038808236042
