,mode,meas,n,r,target_dim,samples,percent_recovered,avg # iters,avg time,intermediate dimension
0,TWOSTEP,Fourier,96,1,32768,100,100.0,87.54,31.421698559224605,2048
1,TWOSTEP,Fourier,96,1,65536,100,100.0,72.67,50.96540502741933,4096
2,TWOSTEP,Fourier,96,2,32768,100,100.0,111.27,41.69174496650696,2048
3,TWOSTEP,Fourier,96,2,65536,100,100.0,91.08,65.32317154340446,4096
4,TWOSTEP,Fourier,96,3,32768,100,100.0,132.34,49.639124436941344,2048
5,TWOSTEP,Fourier,96,3,65536,100,100.0,103.03,73.14441702980548,4096
6,TWOSTEP,Fourier,96,4,32768,100,100.0,166.23,62.841290011852976,2048
7,TWOSTEP,Fourier,96,4,65536,100,100.0,116.89,84.6208869651705,4096
8,TWOSTEP,Fourier,96,5,32768,100,100.0,249.47,96.42529396723955,2048
9,TWOSTEP,Fourier,96,5,65536,100,100.0,146.68,105.10261302474886,4096
10,TWOSTEP,Fourier,96,6,32768,100,98.0,563.5408163265306,218.5867654999756,2048
11,TWOSTEP,Fourier,96,6,65536,100,100.0,203.46,145.88108447209,4096
12,TWOSTEP,Fourier,96,7,32768,100,0.0,1000.0,inf,2048
13,TWOSTEP,Fourier,96,7,65536,100,100.0,351.96,265.05769431985914,4096
14,TWOSTEP,Fourier,96,8,32768,100,0.0,1000.0,inf,2048
15,TWOSTEP,Fourier,96,8,65536,100,83.0,728.3305194805195,540.857999492506,4096
16,VEC,Fourier,96,1,32768,100,100.0,38.64,5.666179380599642,1
17,VEC,Fourier,96,1,65536,100,100.0,36.83,5.3768330905085895,1
18,VEC,Fourier,96,2,32768,100,100.0,49.13,8.009403864219784,1
19,VEC,Fourier,96,2,65536,100,100.0,48.03,7.843408215562231,1
20,VEC,Fourier,96,3,32768,100,100.0,63.83,10.656158013375824,1
21,VEC,Fourier,96,3,65536,100,100.0,54.04,9.160019938321785,1
22,VEC,Fourier,96,4,32768,100,99.0,97.11111111111111,16.376557554889146,1
23,VEC,Fourier,96,4,65536,100,100.0,63.82,10.861384922112338,1
24,VEC,Fourier,96,5,32768,100,97.0,198.2474226804124,34.52666481645758,1
25,VEC,Fourier,96,5,65536,100,100.0,82.66,14.171201641070656,1
26,VEC,Fourier,96,6,32768,100,46.0,612.9347826086956,105.8852427686848,1
27,VEC,Fourier,96,6,65536,100,100.0,124.59,21.79925309783313,1
28,VEC,Fourier,96,7,32768,100,0.0,1000.0,inf,1
29,VEC,Fourier,96,7,65536,100,99.0,245.4848484848485,49.3628230763898,1
30,VEC,Fourier,96,8,32768,100,0.0,1000.0,inf,1
31,VEC,Fourier,96,8,65536,100,59.0,639.8444912930207,143.18576461328345,1
