,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,MW,1600,90.0,398.3,10.176033033430576,NA
1,7,1,MW,1444,63.0,469.7936507936508,12.951227697588148,NA
2,7,1,MW,1296,62.0,500.0806451612903,13.164730545854376,NA
3,7,1,MW,1156,68.0,517.0882352941177,13.227707555517554,NA
4,7,1,MW,1024,56.0,558.2142857142857,13.175077116915158,NA
5,7,1,MW,900,36.0,660.6388888888889,16.327076714434142,NA
6,7,1,MW,784,18.0,758.1111111111111,15.44347903639492,NA
7,7,1,MW,676,8.0,842.375,22.161164198769256,NA
8,7,1,MW,576,4.0,877.25,21.393257334828377,NA
9,7,1,MW,484,0.0,1000.0,inf,NA
10,7,1,MW,400,2.0,940.5,18.48482138942927,NA
11,7,1,MW,324,0.0,1000.0,inf,NA
12,7,1,MW,256,0.0,1000.0,inf,NA
13,7,1,MW,196,0.0,1000.0,inf,NA
