,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,3,TWOSTEP,400,69,561.5362319,21.70497736,64
1,8,3,TWOSTEP,400,61,576.147541,21.63165178,62
2,8,3,TWOSTEP,400,70,593.4285714,22.75308726,60
3,8,3,TWOSTEP,400,69,580.5507246,21.72885744,58
4,8,3,TWOSTEP,400,66,637,23.34708457,56
5,8,3,TWOSTEP,400,60,644,21.60677662,54
6,8,3,TWOSTEP,400,64,636.9375,13.36909954,52
7,8,3,TWOSTEP,400,80,659.875,17.59789724,50
8,8,3,TWOSTEP,400,67,635.0597015,19.99648335,48
9,8,3,TWOSTEP,400,65,686.6769231,21.36390165,46
