,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,MW,1600,100.0,374.53,2.171461227107793,NA
1,7,1,MW,1444,98.0,445.2040816326531,2.690919405172522,NA
2,7,1,MW,1296,95.0,439.46315789473687,2.861184011674241,NA
3,7,1,MW,1156,97.0,458.2061855670103,2.683029176763345,NA
4,7,1,MW,1024,88.0,403.54545454545456,2.4730222112160516,NA
5,7,1,MW,900,83.0,375.7710843373494,2.433170221229813,NA
6,7,1,MW,784,71.0,553.9577464788732,3.2814713715195234,NA
7,7,1,MW,676,76.0,484.63157894736844,2.9255748744808923,NA
8,7,1,MW,576,48.0,699.2083333333334,4.53934638054731,NA
9,7,1,MW,484,30.0,702.3333333333334,4.505490205747386,NA
10,7,1,MW,400,15.0,720.6,4.63272647348543,NA
11,7,1,MW,324,2.0,771.0,4.519569240510464,NA
12,7,1,MW,256,0.0,1000.0,inf,NA
13,7,1,MW,196,0.0,1000.0,inf,NA
