,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,6,2,TWOSTEP,676,100.0,377.25,4.396162614747882,34
1,6,2,TWOSTEP,576,99.0,389.8888888888889,4.626525281467522,34
2,6,2,TWOSTEP,484,98.0,407.4795918367347,4.887320005125841,34
3,6,2,TWOSTEP,676,99.0,413.6363636363636,4.8502162089100995,32
4,6,2,TWOSTEP,576,99.0,409.45454545454544,4.933018224765405,32
5,6,2,TWOSTEP,484,99.0,431.27272727272725,5.126263129534294,32
6,6,2,TWOSTEP,676,93.0,475.247311827957,5.689541660409461,28
7,6,2,TWOSTEP,576,88.0,535.0681818181819,6.366726513973183,28
8,6,2,TWOSTEP,484,94.0,564.5957446808511,6.741082469932735,28
9,6,2,TWOSTEP,676,98.0,402.55102040816325,4.870595418410946,30
10,6,2,TWOSTEP,576,99.0,423.2020202020202,4.934875349692925,30
11,6,2,TWOSTEP,484,98.0,452.765306122449,5.364347957226695,30
