,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,2,VEC,1600,100.0,89.01,1.7898879181966185,NA
1,7,2,VEC,1444,100.0,90.78,1.821182612106204,NA
2,7,2,VEC,1296,100.0,93.52,1.8879336502961814,NA
3,7,2,VEC,1156,100.0,99.42,1.9500645272806287,NA
4,7,2,VEC,1024,100.0,101.46,1.8930724901519715,NA
5,7,2,VEC,900,100.0,107.96,2.023814754523337,NA
6,7,2,VEC,784,100.0,123.87,2.303892622757703,NA
7,7,2,VEC,676,100.0,127.77,1.8906509531103075,NA
8,7,2,VEC,576,99.0,145.11111111111111,1.7865234098086755,NA
9,7,2,VEC,484,97.0,153.71134020618555,1.9080551312756293,NA
10,7,2,VEC,400,100.0,206.68,2.5420121066085994,NA
11,7,2,VEC,324,93.0,241.81720430107526,2.9269566798522586,NA
12,7,2,VEC,256,76.0,337.88157894736844,4.102763022835317,NA
13,7,2,VEC,196,50.0,453.9,5.526372085846961,NA
14,7,2,VEC,144,11.0,579.5454545454545,7.743838100948117,NA
