,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,5,2,TWOSTEP,324,100.0,105.74,2.6951791086699814,25
1,5,3,TWOSTEP,324,100.0,203.64,5.046928804488853,25
2,5,2,TWOSTEP,196,100.0,169.34,4.26228992568329,25
3,5,3,TWOSTEP,196,75.0,719.2666666666667,18.587984008255106,25
4,5,2,TWOSTEP,324,100.0,126.59,3.1532774396985768,24
5,5,3,TWOSTEP,324,100.0,235.9,9.32343027267605,24
6,5,2,TWOSTEP,196,100.0,184.94,6.83802021568641,24
7,5,3,TWOSTEP,196,80.0,726.5375,26.345381764671764,24
8,5,2,TWOSTEP,324,100.0,158.51,5.975608004964888,23
9,5,3,TWOSTEP,324,100.0,280.34,9.685688030701131,23
10,5,2,TWOSTEP,196,100.0,212.94,7.431381721328944,23
11,5,3,TWOSTEP,196,62.0,773.3548387096774,28.05365424200652,23
12,5,2,TWOSTEP,324,100.0,172.23,6.126631774231791,22
13,5,3,TWOSTEP,324,100.0,363.81,13.343619055766613,22
14,5,2,TWOSTEP,196,100.0,281.43,10.077822457086295,22
15,5,3,TWOSTEP,196,54.0,810.1111111111111,33.96815366025462,22
16,5,2,TWOSTEP,324,100.0,206.58,9.458318037129938,21
17,5,3,TWOSTEP,324,100.0,420.77,19.56913597099483,21
18,5,2,TWOSTEP,196,100.0,257.93,8.90418668795377,21
19,5,3,TWOSTEP,196,32.0,846.8125,29.265729817620013,21
20,5,2,TWOSTEP,324,100.0,253.67,8.902534022983163,20
21,5,3,TWOSTEP,324,98.0,481.48979591836735,17.306116835005124,20
22,5,2,TWOSTEP,196,100.0,315.57,11.525553565714509,20
23,5,3,TWOSTEP,196,29.0,865.8620689655172,38.616751050126965,20
24,5,2,TWOSTEP,324,99.0,307.5959595959596,14.934879822299035,19
25,5,3,TWOSTEP,324,91.0,603.6923076923077,22.43015333254832,19
26,5,2,TWOSTEP,196,98.0,384.5612244897959,18.321489596967492,19
27,5,3,TWOSTEP,196,8.0,878.25,34.994648567866534,19
28,5,2,TWOSTEP,324,97.0,441.29896907216494,11.569642114501024,18
29,5,3,TWOSTEP,324,73.0,702.5479452054794,18.8587404381841,18
30,5,2,TWOSTEP,196,95.0,519.5052631578948,13.42215695494884,18
31,5,3,TWOSTEP,196,8.0,893.75,25.638863971922547,18
